code,name,continent,iso_country,iso_region,gps_code,iata_code,latitude,longitude
5A8,Aleknagik / New Airport,NA,US,US-AK,5A8,WKK,-158.6179962,59.2826004
AF-0005,Khost International Airport (U.C.),AS,AF,AF-KHO,,,69.80734,33.284605
AGGH,Honiara International Airport,OC,SB,SB-CT,AGGH,HIR,160.0549927,-9.42800045
AGGM,Munda Airport,OC,SB,SB-WE,AGGM,MUA,157.2630005,-8.327969551
AHJ,Hongyuan Airport,AS,CN,CN-51,ZUHY,AHJ,102.35224,32.53154
ANYN,Nauru International Airport,OC,NR,NR-14,ANYN,INU,166.919006,-0.547458
AU-0121,YKCY,OC,AU,AU-QLD,,,152.566855,-26.971197
AXF,Alxa Left Banner Bayanhot Airport,AS,CN,CN-15,ZBAL,AXF,105.58858,38.74831
AYBK,Buka Airport,OC,PG,PG-NSB,AYBK,BUA,154.6730042,-5.422319889
AYCH,Chimbu Airport,OC,PG,PG-CPK,AYCH,CMU,144.970993,-6.024290085
AYDU,Daru Airport,OC,PG,PG-WPD,AYDU,DAU,143.2079926,-9.086759567
AYGA,Goroka Airport,OC,PG,PG-EHG,AYGA,GKA,145.3919983,-6.081689835
AYGN,Gurney Airport,OC,PG,PG-MBA,AYGN,GUR,150.3339996,-10.3114996
AYGR,Girua Airport,OC,PG,PG-NPP,AYGR,PNP,148.3090057,-8.80453968
AYHK,Kimbe Airport,OC,PG,PG-WBK,AYHK,HKN,150.4049988,-5.462170124
AYKM,Kerema Airport,OC,PG,PG-GPK,AYKM,KMA,145.7709961,-7.963610172
AYKV,Kavieng Airport,OC,PG,PG-NIK,AYKV,KVG,150.8079987,-2.579400063
AYMD,Madang Airport,OC,PG,PG-MPM,AYMD,MAG,145.7890015,-5.207079887
AYMH,Mount Hagen Kagamuga Airport,OC,PG,PG-WHM,AYMH,HGU,144.2960052,-5.826789856
AYMN,Mendi Airport,OC,PG,PG-SHM,AYMN,MDU,143.656998,-6.14774
AYMO,Momote Airport,OC,PG,PG-MRL,AYMO,MAS,147.423996,-2.06189
AYNZ,Nadzab Airport,OC,PG,PG-MPL,AYNZ,LAE,146.725977,-6.569803
AYPY,Port Moresby Jacksons International Airport,OC,PG,PG-NCD,AYPY,POM,147.2200012,-9.443380356
AYTK,Tokua Airport,OC,PG,PG-EBR,AYTK,RAB,152.3800049,-4.340459824
AYVN,Vanimo Airport,OC,PG,PG-SAN,AYVN,VAI,141.3028,-2.6926
AYWD,Wapenamanda Airport,OC,PG,PG-EPW,AYWD,WBM,143.8950043,-5.643300056
AYWK,Wewak International Airport,OC,PG,PG-ESW,AYWK,WWK,143.6690063,-3.583830118
AZ-0001,Zabrat Airport,AS,AZ,AZ-BA,UBTT,ZXT,49.97680664,40.49554222
AZ-0013,Sital Chay Airport,AS,AZ,AZ-XIZ,,,49.43148136,40.80731292
AZ-0021,Kyzylagadzh Air Base,AS,AZ,AZ-MAS,,,48.80631208,39.00616227
BCW,Benguera Island Airport,AF,MZ,MZ-I,,BCW,35.43830109,-21.85330009
BG-JAM,Bezmer Air Base,EU,BG,BG-28,LBIA,JAM,26.35219955,42.45489883
BGAA,Aasiaat Airport,NA,GL,GL-U-A,BGAA,JEG,-52.78469849,68.72180176
BGBW,Narsarsuaq Airport,NA,GL,GL-U-A,BGBW,UAK,-45.42599869,61.16049957
BGGH,Godthaab / Nuuk Airport,NA,GL,GL-U-A,BGGH,GOH,-51.67810059,64.19090271
BGSF,Kangerlussuaq Airport,NA,GL,GL-U-A,BGSF,SFJ,-50.71160316,67.0122219
BGTL,Thule Air Base,NA,GL,GL-U-A,BGTL,THU,-68.70320129,76.53119659
BIAR,Akureyri Airport,EU,IS,IS-6,BIAR,AEY,-18.0727005,65.66000366
BIEG,EgilsstaÃ°ir Airport,EU,IS,IS-7,BIEG,EGS,-14.40139961,65.28330231
BIHN,HornafjÃ¶rÃ°ur Airport,EU,IS,IS-8,BIHN,HFN,-15.2272,64.295601
BIHU,HÃºsavÃ­k Airport,EU,IS,IS-6,BIHU,HZK,-17.426001,65.952301
BIIS,ÃsafjÃ¶rÃ°ur Airport,EU,IS,IS-4,BIIS,IFJ,-23.13529968,66.05809784
BIKF,Keflavik International Airport,EU,IS,IS-2,BIKF,KEF,-22.60560036,63.98500061
BIRK,Reykjavik Airport,EU,IS,IS-1,BIRK,RKV,-21.94059944,64.12999725
BISI,SiglufjÃ¶rÃ°ur Airport,EU,IS,IS-6,BISI,SIJ,-18.9167,66.133301
BIVM,Vestmannaeyjar Airport,EU,IS,IS-8,BIVM,VEY,-20.27890015,63.42430115
BKPR,PriÅ¡tina International Airport,EU,XK,XK-01,BKPR,PRN,21.035801,42.5728
BR-0569,Glauber de Andrade Rocha Airport,SA,BR,BR-BA,SSVC,,-40.914804,-14.907885
